Model,R2,Adj_R2,AIC,BIC,Pseudo_R2,LogLikelihood
OLS,0.44018302362508943,0.44014626514316124,769885.2581803708,769994.5283688679,,
GLM,,,275733.8248090263,-1762989.4130965953,0.20211218547464738,
MixedLM,,,189077.3857450767,189166.7886265744,,-94529.69287253835
